tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
13967,188,[],False,22855,"Hi, welcome to dating. These are your two options:

1. Stay together forever
2. Break up

No pressure.",@thatdutchperson
8,,[],False,93,Imagine if humans built homes with their mouths like birds do,@hayley_hud
444,8,[],False,2107,"[buying a new car]

CAR SALESMAN: this one comes fully loaded. It even has tinted windows. 

ME:*nods* so they can’t see you crying",@thatdutchperson
574,7,[],False,2133,"[creating humans]

God: a brain, so they’ll be able to make smart and rational decisions. 

Angel: ok

God: and a heart, so they can fall in love with each other. 

Angel: ok..and they’ll be able to use both at the same time right?

God: lmao oh hell no",@thatdutchperson
581,20,[],False,2793,"[in therapy where I literally pay someone to listen to me talk]

Therapist: do you want to talk about it?

Me: no",@thatdutchperson
2763,34,[],False,1657,"Me: struggles with mental health, has trouble making rent, 9 unanswered calls from mom, can't find cat

Also me: I should start dating again",@thatdutchperson
914,51,[],False,4223,"[in the middle of a depressive episode]

Me: keep a routine. Take your meds. Practice self care. 

Brain: eat some bread

Me: what, no, we’re gonna go to therapy

Brain:[voice turns dark] Ɇ₳₮ ₳ ₩ⱧØⱠɆ ⱠØ₳₣ Ø₣ ฿ⱤɆ₳Đ",@thatdutchperson
1323,47,[],False,6254,"[depressed, broke, eating like shit, haven’t opened my mail since January]

Me: I should get a new tattoo",@thatdutchperson
1738,17,[],False,5912,"[starbucks barista] how can I help you today?

[my therapist, shouting from a distance] nobody can help him",@thatdutchperson
11486,76,[],False,64432,"Hi, I’m Brad. I haven’t read a book since high school and vote republican because that’s what my parents did. I’m not really sure where girls pee from, and think labia and vagina are the same thing. Anyway here’s how your uterus and periods work and why this isn’t an abortion ban",@thatdutchperson
39,,[],False,370,"Made a list of classes more helpful than algebra: 

starting a new roll of tape class
filing taxes class
saying “no” class
dishwasher loading class
choosing a candidate class
animal husbandry",@eff_yeah_steph
