tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
53620,622,[],https://pbs.twimg.com/media/DWKzen3W0AAz1-f.jpg,137302,"everything is terrible so i googled ""dogs being interviewed"" and it helped",@Kristen_Arnett
1,,[],https://pbs.twimg.com/media/D9x52k7X4AAzuri.jpg,14,"Just finished @Kristen_Arnett's Mostly Dead Things in one sitting... That sitting being outside in my hammock. I've never read a book so equally real and surreal. ""Love was a thing that needed constant care. Our intimacy was an uprooted plant, shriveled and withered."" 10/10.",@socratessandals
1,,[],https://pbs.twimg.com/media/D9yHNCzXsAEbs42.jpg,22,"I had the chance to hear @Kristen_Arnett read part of her book at UT recently. If you have the chance to see her read, please do! She was so charming and her book is masterfully written.",@Wigglybottom
1,,[],False,167,no YOU LOOK GOOD,@Kristen_Arnett
13,,[],False,563,two women are aggressively telling each other how good they look at the entrance to this hotel and i feel like they are about to fight each other over who has aged most gracefully and i am here for it,@Kristen_Arnett
17264,252,[],https://pbs.twimg.com/media/D9oZkwgVAAI6dHt.jpg,66526,I still think about that time Pope Francis released that white peace dove and a black crow came out of nowhere & attacked it. every single day,@ohgoddickie
12,,[],False,151,I don’t get out of bed for less than 6.5% ABV,@grrreen
5,,[],False,359,have not yet found the bottom of this bottomless mimosa,@Kristen_Arnett
0,,[],False,101,i legit shrieked with joy,@Kristen_Arnett
3,,[],https://pbs.twimg.com/media/D9wi5sbXYAA9SwW.jpg,276,when someone dresses up to match your book // @Loyaltybooks,@Kristen_Arnett
0,,[],False,90,good morning to everyone but especially the hotel coffee which is all that’s keeping me awake at this point,@Kristen_Arnett
2,,['#alaac19'],https://pbs.twimg.com/media/D9wD2F9W4AMZa-K.jpg,14,"The lovely and delightful ⁦@rebeccavnuk⁩ moderated a Fierce Females panel with ⁦@Kristen_Arnett⁩ ⁦@sarahmbroom⁩ ⁦@KalishaOnline⁩ ⁦@AliciaMenendez⁩ their books are all descriptive, in some way, of who the are and where they came from. #alaac19",@tracymine
2,,[],False,35,I could listen to @Kristen_Arnett and @carlytron talk about Publix subs and weird Florida shit for hours and p much did yesterday,@KaylaKumari
0,,[],False,104,happy anniversary to this pride tweet,@Kristen_Arnett
2,,"['#FiercelyFemale', '#alaac19']",https://pbs.twimg.com/media/D9sPzqWXYAIWeRD.jpg,37,"Our FANTASTIC  #FiercelyFemale panel at #alaac19: @KalishaOnline, @AliciaMenendez, @sarahmbroom, and @Kristen_Arnett with @LibraryReads99 Exec Director, @rebeccavnuk.",@LibraryReads99
1,,[],False,16,In the same room with lesbicon @Kristen_Arnett,@yourbibrarian
4,,"['#readadv', '#alaac19', '#ownvoices']",https://pbs.twimg.com/media/D9r8JiaXoAEAxMW.jpg,19,"A writer AND librarian! @Kristen_Arnett “queer shit, Florida & taxidermy” IM THERE MOSTLY DEAD THINGS @WWNortonLibrary 
@wwnorton @Tin_House @libraryreads99 #readadv
#alaac19 #ownvoices",@MarianLiberryan
1,,"['#ALAAC19', '#alaac2019']",https://pbs.twimg.com/media/D9sIM-SXoAESgbh.jpg,33,It's @Kristen_Arnett signing copies of MOSTLY DEAD THINGS! #ALAAC19 #alaac2019,@WWNortonLibrary
28,,[],False,363,technically a library conference is a ravioli,@Kristen_Arnett
3,,[],https://pbs.twimg.com/media/D9oFR_XWkAAZamQ.jpg,66,Shocking. Absolutely shocking.,@ThomasAwful
13,,[],https://pbs.twimg.com/media/D9rcTSOWwAAbUNX.jpg,151,SCREAMING. o daddy,@WeeHermione
