Profile,Username,tweet_comment_count,tweet_fav_count,tweet_hashtag_mentions,tweet_img_url,tweet_retweet_count,tweet_text,tweet_username
,,18.0,,[],https://pbs.twimg.com/media/D9tECO7WsAYIw0c.jpg,70.0,This comic is based on an awesome tweet by @tweetsaboutdog! ,@3MBComics
,,55.0,,[],https://pbs.twimg.com/media/D7wWsgEWsAATe7V.jpg,193.0,"New comic based on a fantastic tweet by @ShortSleeveSuit!

Check out their original tweet here and give it some love! https://twitter.com/shortsleevesuit/status/1128368225572610049?s=21 …",@3MBComics
,,5.0,,[],https://pbs.twimg.com/media/D6pD3AIW0AYOrzV.jpg,54.0,"Today's comic is based on a tweet by @LlamaInaTux!

Check it out here: https://twitter.com/llamainatux/status/1120495813480857602?s=21 …",@3MBComics
,,123.0,9.0,[],False,1190.0,"Rampion is another name for the Rapunzel flower, so the lyrics “ripping up the rampion, my champion, my favorite” sung by Rapunzel’s witch in ‘Into the Woods’ are in fact brilliant, respect the audience’s intelligence and also drive narrative and I don’t know why I’m writing this",@AaronJackson85
,,12.0,,[],False,233.0,"All of us share the earth with crocodiles, which are literal fucking dinosaurs, and we just walk around buying eggs and light bulbs. Wake up humanity we are at WAR here!!!",@AaronJackson85
,,15352.0,409.0,[],False,57253.0,why are women’s bodies more controlled than guns? which ones are the actual threat to life?,@aparnapkin
,,3.0,,[],False,70.0,"“Come closer,” she whispered, covered in blood.
“I’m good,” I replied, cuz I could easily hear her and also the blood was gross.
“The prophecy,” she croaked, “can be undone.” 
And was like, “Plz don’t be dramatic,” but then she died and I was like: omg I’m such a bi$h sometimes.",@AaronJackson85
,,0.0,,[],False,67.0,My hot take set my whole building aflame and now all the neighbors + the New York Fire Department are RLLY mad @ me ,@AaronJackson85
,,4.0,,[],False,117.0,I grew out my hair so I would always have floss ,@AaronJackson85
,,1775.0,66.0,[],False,17267.0,"when someone drinks decaf coffee? its like, ok, maybe just have a cup of water u stupid bitch",@poregan
,,2.0,,[],False,99.0,There are no cis-women cereal mascot characters. I’m outraged!!!Join me in protest this afternoon as I empty thousands of boxes of misogynist LIES into the Hudson.,@AaronJackson85
,,12.0,,[],False,231.0,"My beauty secret? Plenty of sleep, a healthy diet, a fortifying conditioner, and the soul of this small girl which I keep trapped in a handheld ivory mirror. How do you stay looking young and fresh? Comment below!",@AaronJackson85
,,1.0,,[],False,131.0,"Gays complain that Hell’s Kitchen bars are terrible but 9th Avenue Saloon continues to SLAP. Always FREE popcorn, a bookshelf full of FREE socialist literature, and right now VODKA IS ALSO FREE. Open your damn EYES!!!!",@AaronJackson85
,,14.0,,[],False,258.0,"Whenever people are like “it’s 2019, get with it,” I’m always like “no YOU get with it bc it’s actually 2032 and has been for years.”",@AaronJackson85
,,1.0,,[],False,156.0,"Me to my son when we’re on top of the Empire State Building: 

“One day, all of this will be yours.”

(I randomly own all of New York City)
(my son is a lion)",@AaronJackson85
,,18.0,7.0,[],False,1029.0,I was trying to reference Playboy bunny the other day and I said PlayBILL bunny and wow that’s gayer than anal folks. I retire!,@AaronJackson85
,,3.0,,[],https://pbs.twimg.com/media/D2xTUhfWsAA5zK-.jpg,442.0,Very excited that HarperCollins is publishing my novel in 2020. Posting this on multiple social media platforms truly gives me hives! Pray for my health...or don’t!,@AaronJackson85
,,94.0,,[],https://pbs.twimg.com/media/D2sI3bCXcAgdIUZ.jpg,688.0,Okay now he's just pandering,@PeterKelly25
,,2.0,,[],False,181.0,"Last night, myself and three other gay men stood one foot away from a television and watched a 17 year old girl with a SHATTERINGLY perfect vibrato seamlessly switch from chest to mix to head voice and in that moment, we all finally understood sports culture. Eye opening!!!",@AaronJackson85
,,7.0,,[],False,98.0,"Whispering is chic. Do you have a secret? A juicy bit of gossip? Have you been ill with a shattering disease and are only just recovering? Or are you under the spell of a witch, cursed to speak in muted susurration forevermore? Whisper and thrill the world.",@AaronJackson85
,,0.0,,[],False,103.0,I’m opening a store in Brooklyn called Candle and Pants. We will sell neither of these items. Please come!,@AaronJackson85
,,6.0,,[],False,89.0,"If you can’t handle me at my worst, then I will mutate into my true form and unleash a pain upon this world the like of which has never been seen.",@AaronJackson85
,,0.0,,[],False,86.0,Hmmm. I’d say my life goal is for lots of strangers 2 like me online and my personality is abs. A few years ago I would’ve said kale was my personality but now it’s definitely abs.,@AaronJackson85
,,130.0,9.0,[],False,1263.0,Everyone thinks dinosaurs evolved into birds when giraffes are literally  just brachiosaurus wearing cute clothes. Giraffes are tricking you WAKE UP!,@AaronJackson85
,,1.0,,[],False,128.0,I know you all love viral twitter darling     .@samttaggart but I need you all to know I did a three person set with Sam and .@maryhoulie like 2 years ago. He is a FREAK for improv and his tweet is a fucking LIE!!! Welcome to call out culture Sam. Can u handle the heat?,@AaronJackson85
,,0.0,,[],False,163.0,Funerals are like weddings except shorter/better food/no chicken dance/less people tearfully saying “best friend” while holding a folded piece of paper and I’m sorry but funerals are just better. I’m sorry!!!,@AaronJackson85
,,28.0,6.0,[],False,1219.0,"Me and my friends? We’re crazy. We like to rent a private karaoke room and then post HUNDREDS and I mean HUNDREDS of videos of us singing karaoke in the private karaoke room. We’re wild as stallions, unique and drunk.",@AaronJackson85
,,7.0,,[],False,134.0,When the water is clear? After only two rounds? I just have to whisper “witch” to myself. (I’m Vers btw),@AaronJackson85
,,18.0,,[],https://pbs.twimg.com/media/D5qUYbOWwAEINXk.jpg,93.0,"Hello twitter friends, I wrote a fantasy/sci-fi book about a woman who helps topple a tyrannical Queen, becomes the new leader, and gets into loads of sword fights. It's here if you wanna check it out: https://www.amazon.com/dp/B07R91PP93 ",@AbbieEvansXO
,,3727.0,83.0,[],False,22667.0,"ME: Hotdogs imply the existence of coldcats. 

WENDY'S CASHIER: shut the fuck up no it doesnt. I'm sick of you Twitter weirdos coming in here saying weird shit I dont get paid enough for this you didnt even order. get the hell out.",@ComradTwitty
,,29027.0,320.0,[],False,145258.0,"Me: please just one more wish

Genie: no, I said 3

Me: please

Genie: no

Me: [holding my new Leonardo, Michelangelo, and Donatello action figures] Genie please",@AbbieEvansXO
,,2384.0,35.0,[],False,10962.0,me *driving past the apocalypse*: Horses,@iamspacegirl
,,84.0,,[],False,539.0,"Hostage negotiator: let one hostage go as a show of good faith

Me, one of the hostages: [raising hand] ooh, pick me pick me!

Bank robber: I'll let one go if you send in ten pizzas

Me: [quickly lowers hand]",@AbbieEvansXO
,,162.0,5.0,[],False,1142.0,"[after Simba is presented to the animal kingdom]

Mufasa: thx for coming, now join us for the celebratory feast

the antelopes: wait, the what now?",@IvoryGazelle
,,57789.0,256.0,[],False,263253.0,"Me: *covers foot with blanket*

Monster 1: *about to grab my foot anyway*

Monster 2: *quickly pulling him back* NO. we have to respect the blanket Franklin",@AbbieEvansXO
,,14.0,,[],False,141.0,"Netflix: are you still watching? 

Big Brother: yea",@AbbieEvansXO
,,229.0,4.0,[],False,1598.0,"Me: I’d kick ass in a zombie uprising

Wife: u run away from flies because “maybe they know a bee”",@TweetPotato314
,,14084.0,65.0,[],False,60393.0,"Me: My eyes are up here

Picasso: I disagree",@AbbieEvansXO
,,4134.0,65.0,[],False,13960.0,"*battlefield turns into a giant orgy*

Cupid: sorry sorry, these are the only type of arrows I have",@AbbieEvansXO
